id,severity,type,processor,batch_id,transaction_ids,expected,actual,impact,currency,description,recommended_action
DUPL-8f5f090a,critical,duplicate_settlement,Adyen,ADY-MXN-20260813,CT-202608-00302,1 settlement,2 settlements,-7793.97,MXN,"CT-202608-00302 was settled 2 times, across batches ADY-MXN-20260813, po-MXN-20260813.",Freeze the duplicated amount before month-end close. Duplicates are reversed later and will otherwise open a hole in the next payout.
UNKN-141cd736,critical,unknown_settlement,Adyen,ADY-BRL-20260813,CT-RSV-9002,a matching internal transaction,no ledger record,-2130.26,BRL,"Adyen settled R$2,130.26 BRL for CT-RSV-9002, which does not exist in the internal ledger.","Do not recognise as revenue yet. Confirm whether this is a reserve release, refund reversal or adjustment, and book it accordingly."
MISS-6f40b584,critical,missing_settlement,dLocal,,CT-202608-00216,settlement by 2026-08-10,never settled,6646.73,MXN,"CT-202608-00216 was captured on 2026-08-05 for MX$6,646.73 MXN and has never been settled. Due 2026-08-10 under the 5-day dLocal SLA -- 4 days overdue.","Raise a missing-settlement enquiry with dLocal quoting the capture date. If it was refunded processor-side, correct the internal status instead."
CURR-e96b7e1e,critical,currency_mismatch,dLocal,DLO-MXN-20260813,CT-202608-00047,MXN,USD,5065.47,MXN,"CT-202608-00047 was charged in MXN (MX$5,065.47 MXN) but settled in USD (US$5,065.47 USD).",Escalate today. The deposit will not clear against a MXN receivable; request reversal and re-settlement in the original currency.
UNKN-1216b83c,critical,unknown_settlement,dLocal,DLO-COP-20260813,CT-ADJ-9001,a matching internal transaction,no ledger record,-1040417,COP,"dLocal settled COL$1,040,417 COP for CT-ADJ-9001, which does not exist in the internal ledger.","Do not recognise as revenue yet. Confirm whether this is a reserve release, refund reversal or adjustment, and book it accordingly."
STAT-1717a39b,critical,status_conflict,dLocal,DLO-BRL-20260813,CT-202608-00008,captured,refunded,-829.90,BRL,CT-202608-00008 is 'refunded' internally but was settled for R$829.90 BRL.,"Quarantine the funds. Settled reversals are normally clawed back, so recognising this now creates a shortfall in a later payout."
MISS-667d6dc1,high,missing_settlement,dLocal,,CT-202608-00096,settlement by 2026-07-26,never settled,1206.73,BRL,"CT-202608-00096 was captured on 2026-07-21 for R$1,206.73 BRL and has never been settled. Due 2026-07-26 under the 5-day dLocal SLA -- 19 days overdue.","Raise a missing-settlement enquiry with dLocal quoting the capture date. If it was refunded processor-side, correct the internal status instead."
BATC-c5ffaa3f,high,batch_total_mismatch,PayU Latam,PAYU-COP-20260811,,"COL$18,666,866 COP","COL$19,413,541 COP",-746675,COP,"Batch PAYU-COP-20260811 claims net of COL$19,413,541 COP, but its 21 lines sum to COL$18,666,866 COP.","Do not post this payout until the processor reissues the file -- header and detail disagree, so one of them is wrong."
MISS-86040d33,high,missing_settlement,dLocal,,CT-202608-00270,settlement by 2026-07-29,never settled,1830.53,MXN,"CT-202608-00270 was captured on 2026-07-24 for MX$1,830.53 MXN and has never been settled. Due 2026-07-29 under the 5-day dLocal SLA -- 16 days overdue.","Raise a missing-settlement enquiry with dLocal quoting the capture date. If it was refunded processor-side, correct the internal status instead."
NET_-86c9bfe2,high,net_arithmetic_error,Adyen,ADY-BRL-20260813,CT-202608-00226,R$317.21 BRL,R$295.01 BRL,22.20,BRL,"Settlement line does not add up: gross R$319.73 BRL minus fee R$2.52 BRL is R$317.21 BRL, but the report states net R$295.01 BRL.","Hold the line and request a corrected settlement advice -- the file is internally inconsistent, so neither figure can be trusted."
